Corporation ID,Corp Name,Both EBRW & Math At Benchmark,Both EBRW & Math Total Tested,Both EBRW & Math Benchmark %
5620,North Miami Community Schools,10,71,0.14084507042
5625,Oak Hill United School Corp,31,138,0.22463768115
5635,Peru Community Schools,23,125,0.184
5705,Richland-Bean Blossom C S C,58,179,0.32402234636
5740,Monroe County Community Sch Corp,363,814,0.44594594594
5835,North Montgomery Com Sch Corp,39,127,0.30708661417
5845,South Montgomery Com Sch Corp,42,123,0.34146341463
5855,Crawfordsville Community Schools,28,162,0.17283950617
5900,Monroe-Gregg School District,18,131,0.13740458015
5910,Eminence Community School Corp,1,24,0.04166666666
5925,MSD Martinsville Schools,32,335,0.09552238805
5930,Mooresville Con School Corp,58,341,0.17008797653
5945,North Newton School Corp,12,85,0.14117647058
5995,South Newton School Corp,4,43,0.09302325581
6055,Central Noble Com School Corp,13,93,0.13978494623
6060,East Noble School Corporation,47,241,0.19502074688
6065,West Noble School Corporation,20,174,0.11494252873
6080,Rising Sun-Ohio Co Com,7,53,0.13207547169
6145,Orleans Community Schools,5,57,0.08771929824
6155,Paoli Community School Corp,7,89,0.07865168539
6160,Springs Valley Com School Corp,9,75,0.12
6195,Spencer-Owen Community Schools,27,135,0.2
6260,Southwest Parke Com Sch Corp,9,81,0.11111111111
6325,Perry Central Com Schools Corp,22,105,0.20952380952
6340,Cannelton City Schools,0,20,0.0
6350,Tell City-Troy Twp School Corp,25,106,0.2358490566
6375,North Central Parke Comm Schl Corp,14,86,0.16279069767
6445,Pike County School Corp,19,125,0.152
6460,MSD Boone Township,16,88,0.18181818181
6470,Duneland School Corporation,160,490,0.32653061224
6510,East Porter County School Corp,74,190,0.38947368421
6520,Porter Township School Corp,35,126,0.27777777777
6530,Union Township School Corp,36,91,0.3956043956
6550,Portage Township Schools,64,503,0.12723658051
6560,Valparaiso Community Schools,209,503,0.41550695825
6590,MSD Mount Vernon,33,121,0.27272727272
6600,MSD North Posey Co Schools,31,108,0.28703703703
6620,Eastern Pulaski Community Sch Corp,20,81,0.24691358024
6630,West Central School Corp,16,46,0.34782608695
6705,South Putnam Community Schools,17,91,0.18681318681
6715,North Putnam Community Schools,24,100,0.24
6750,Cloverdale Community Schools,8,62,0.12903225806
6755,Greencastle Community School Corp,22,104,0.21153846153
6795,Union School Corporation,28,1050,0.02666666666
6805,Randolph Southern School Corp,5,34,0.14705882352
6820,Monroe Central School Corp,9,74,0.12162162162
6825,Randolph Central School Corp,13,113,0.11504424778
6835,Randolph Eastern School Corp,9,81,0.11111111111
6865,South Ripley Com Sch Corp,10,89,0.11235955056
6895,Batesville Community School Corp,58,157,0.36942675159
6900,Jac-Cen-Del Community Sch Corp,9,83,0.10843373493
6910,Milan Community Schools,15,81,0.18518518518
6995,Rush County Schools,39,168,0.23214285714
7150,John Glenn School Corporation,54,167,0.32335329341
7175,Penn-Harris-Madison School Corp,307,793,0.38713745271
7200,School City of Mishawaka,54,309,0.17475728155
7205,South Bend Community School Corp,100,1003,0.0997008973
7215,Union-North United School Corp,13,95,0.13684210526
7230,Scott County School District 1,11,103,0.1067961165
7255,Scott County School District 2,36,162,0.22222222222
7285,Shelby Eastern Schools,17,84,0.20238095238
7350,Northwestern Con School Corp,25,110,0.22727272727
7360,Southwestern Con Sch Shelby Co,6,46,0.1304347826
7365,Shelbyville Central Schools,65,255,0.25490196078
7385,North Spencer County Sch Corp,76,181,0.41988950276
7445,South Spencer County Sch Corp,20,75,0.26666666666
7495,Oregon-Davis School Corp,4,28,0.14285714285
7515,North Judson-San Pierre Sch Corp,9,70,0.12857142857
7525,Knox Community School Corp,23,121,0.19008264462
7605,Fremont Community Schools,24,68,0.35294117647
7610,Hamilton Community Schools,4,23,0.17391304347
7615,MSD Steuben County,41,175,0.23428571428
7645,Northeast School Corp,2,62,0.03225806451
7715,Southwest School Corporation,20,115,0.17391304347
7775,Switzerland County School Corp,11,114,0.09649122807
7855,Lafayette School Corporation,85,474,0.17932489451
7865,Tippecanoe School Corp,285,908,0.31387665198
7875,West Lafayette Com School Corp,135,189,0.71428571428
7935,Tri-Central Community Schools,11,59,0.18644067796
7945,Tipton Community School Corp,27,101,0.26732673267
7950,Union Co/Clg Corner Joint Sch Dist,14,84,0.16666666666
7995,Evansville Vanderburgh School Corp,326,1516,0.21503957783
8010,North Vermillion Com Sch Corp,0,39,0.0
8020,South Vermillion Com Sch Corp,19,107,0.17757009345
8030,Vigo County School Corp,146,830,0.17590361445
8045,Manchester Community Schools,32,119,0.26890756302
8050,MSD Wabash County Schools,31,265,0.11698113207
8060,Wabash City Schools,14,122,0.11475409836
8115,MSD Warren County,9,79,0.11392405063
8130,Warrick County School Corp,239,760,0.31447368421
8205,Salem Community Schools,11,101,0.10891089108
8215,East Washington School Corp,12,111,0.1081081081
8220,West Washington School Corp,16,71,0.22535211267
8305,Nettle Creek School Corporation,24,93,0.25806451612
8355,Western Wayne Schools,7,65,0.10769230769
8360,Centerville-Abington Com Schs,31,114,0.27192982456
8375,Northeastern Wayne Schools,13,104,0.125
8385,Richmond Community Schools,52,284,0.18309859154
8425,Southern Wells Com Schools,15,62,0.24193548387
8435,Norwell Community Schools,57,175,0.32571428571
8445,MSD Bluffton-Harrison,30,100,0.3
8515,North White School Corp,4,59,0.06779661016
8525,Frontier School Corporation,9,40,0.225
8535,Tri-County School Corporation,12,59,0.2033898305
8565,Twin Lakes School Corp,31,137,0.22627737226
8625,Smith-Green Community Schools,23,96,0.23958333333
8635,Purdue Polytechnic High Sch North,13,63,0.20634920634
8655,Excel Center - Bloomington,1,5,0.2
8665,Whitley County Con Schools,63,287,0.21951219512
8690,Dynamic Minds Academy,1,3,0.33333333333
8940,James and Rosemary Phalen Leadership Academy High School,0,111,0.0
8960,Purdue Polytechnic High School South Bend,6,45,0.13333333333
8970,GEO Next Generation Academy,1,40,0.025
9000,Phalen Virtual Leadership Academy,0,29,0.0
9015,Purdue Polytechnic High School Ind,15,107,0.14018691588
9035,Indiana Connections Career Academy,15,169,0.08875739644
9050,Excel Center - Clarksville,1,33,0.0303030303
9100,Indiana Department of Correction,0,28,0.0
9120,Hoosier College and Career Academy,5,255,0.01960784313
9135,KIPP Indy Legacy High,0,64,0.0
9140,BELIEVE Circle City High School,11,65,0.16923076923
9145,Herron-Riverside High School,19,88,0.2159090909
9160,Excel Center - Muncie,0,9,0.0
9170,Rooted School Indianapolis,0,14,0.0
9200,Archdiocese of Indianapolis,465,1137,0.40897097625
9205,Diocese of Gary,91,308,0.29545454545
9210,Diocese of Lafayette Catholic Sch,189,262,0.7213740458
9215,Diocese of Evansville,147,313,0.4696485623
9220,Diocese of Fort Wayne - South Bend,267,685,0.38978102189
9230,Lutheran Schools of Indiana,96,243,0.39506172839
9305,Excel Center - Richmond,0,12,0.0
9315,Signature School Inc,85,102,0.83333333333
9320,Community Montessori Inc,5,31,0.16129032258
9325,Options Charter Schools,8,191,0.04188481675
9330,Irvington Community School,6,82,0.0731707317
9345,Excel Center - Lafayette,0,45,0.0
9355,Excel Center - Kokomo,0,53,0.0
9380,Christel House Academy South,10,100,0.1
9385,Christel House DORS,0,17,0.0
9445,Charles A Tindley Accelerated Sch,0,35,0.0
9460,Thea Bowman Leadership Academy,0,60,0.0
9505,Indiana Agriculture and Technology,7,112,0.0625
9535,Gary Lighthouse Charter School,0,76,0.0
9545,21st Century Charter Sch of Gary,2,92,0.02173913043
9575,Victory College Prep,3,55,0.05454545454
9605,IN Sch for the Blind & Vis Imprd,0,2,0.0
9610,Indiana School For The Deaf,0,12,0.0
9620,Burris Laboratory School,24,49,0.48979591836
9625,Indiana Academy for Sci Math Hmn ,78,101,0.77227722772
9650,Herron Charter,100,251,0.3984063745
9651,"The Hope Academy, Inc.",0,17,0.0
9670,Indianapolis Metropolitan High Sch,1,58,0.01724137931
9705,Hammond Academy of Science & Tech,15,69,0.21739130434
9730,Neighbors' New Vistas High School,0,31,0.0
9750,Excel Center - Anderson,0,14,0.0
9760,Smith Academy for Excellence,0,9,0.0
9790,Anderson Preparatory Academy,0,69,0.0
9840,Excel Center - University Heights,0,2,0.0
9855,Excel Center - Noblesville,0,2,0.0
9875,Rock Creek Community Academy,5,39,0.1282051282
9880,Career Academy High School,10,110,0.0909090909
9885,Gary Middle College,0,25,0.0
9895,IN Math & Science Academy - North,9,46,0.19565217391
9905,Indiana Connections Academy,97,825,0.11757575757
9910,Excel Center for Adult Learners,0,11,0.0
9920,Damar Charter Academy,0,4,0.0
9950,Dugger Union Community School Corp,0,44,0.0
9980,Steel City Academy,0,17,0.0
9985,Seven Oaks Classical School,13,19,0.68421052631
9995,Excel Center - Shelbyville,0,21,0.0
